movie_id,budget,popularity,release_date,revenue,runtime,title,genre_Action,genre_Adventure,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Other,genre_Romance,genre_Science Fiction,genre_Thriller,award_season,summer_blockbuster,winter_low_season,likely_sequel,director,num_prev_films_by_director,production_company_Columbia Pictures,production_company_Metro-Goldwyn-Mayer (MGM),production_company_New Line Cinema,production_company_Other,production_company_Paramount Pictures,production_company_Relativity Media,production_company_Touchstone Pictures,production_company_Twentieth Century Fox Film Corporation,production_company_Universal Pictures,production_company_Walt Disney Pictures,production_company_Warner Bros.,lead_actor,second_actor,third_actor
280092,10000000,45.946524,2015-06-04,104303851,97.0,Insidious: Chapter 3,0,0,0,0,1,0,0,1,0,0,1,False,True,False,True,Leigh Whannell,0,0,0,0,1,0,0,0,0,0,0,0,Dermot Mulroney,Stefanie Scott,Lin Shaye
277,22000000,81.829237,2003-09-19,95708457,121.0,Underworld,1,0,0,0,0,0,1,0,0,0,1,True,False,False,False,Len Wiseman,0,0,0,0,1,0,0,0,0,0,0,0,Kate Beckinsale,Scott Speedman,Michael Sheen
834,50000000,49.020045,2006-01-12,111340801,106.0,Underworld: Evolution,1,0,0,0,0,0,1,0,0,1,1,False,False,True,False,Len Wiseman,1,0,0,0,1,0,0,0,0,0,0,0,Kate Beckinsale,Scott Speedman,Tony Curran
1571,110000000,48.93337,2007-06-20,383531464,128.0,Live Free or Die Hard,1,0,0,0,0,0,0,0,0,0,1,False,True,False,False,Len Wiseman,2,0,0,0,1,0,0,0,1,0,0,0,Bruce Willis,Justin Long,Timothy Olyphant
47607,65000,2.380332,2010-11-12,416498,99.0,Tiny Furniture,0,0,1,0,1,0,0,0,1,0,0,True,False,False,False,Lena Dunham,0,0,0,0,1,0,0,0,0,0,0,0,Lena Dunham,Laurie Simmons,Grace Dunham
264644,6000000,66.11334,2015-10-16,35401758,117.0,Room,0,0,0,0,1,0,0,0,0,0,1,True,False,False,False,Lenny Abrahamson,0,0,0,0,1,0,0,0,0,0,0,0,Brie Larson,Jacob Tremblay,Joan Allen
157,18000000,15.314027,1984-05-31,87000000,105.0,Star Trek III: The Search for Spock,1,1,0,0,0,0,0,0,0,1,1,False,True,False,False,Leonard Nimoy,0,0,0,0,0,1,0,0,0,0,0,0,William Shatner,Leonard Nimoy,DeForest Kelley
168,24000000,22.258428,1986-11-25,133000000,119.0,Star Trek IV: The Voyage Home,0,1,0,0,0,0,0,0,0,1,0,True,False,False,False,Leonard Nimoy,1,0,0,0,0,1,0,0,0,0,0,0,William Shatner,Leonard Nimoy,DeForest Kelley
103328,0,9.140936,2012-07-02,641100,115.0,Holy Motors,0,0,0,0,1,0,1,0,0,0,0,False,True,False,False,Leos Carax,0,0,0,0,1,0,0,0,0,0,0,0,Eva Mendes,Kylie Minogue,Michel Piccoli
9574,80000000,11.50396,1997-11-26,177977226,93.0,Flubber,0,0,1,0,0,1,0,0,0,1,0,True,False,False,False,Les Mayfield,0,0,0,0,1,0,0,0,0,0,1,0,Robin Williams,Marcia Gay Harden,Christopher McDonald
11001,65000000,16.865782,1999-09-17,117758500,93.0,Blue Streak,1,0,1,1,0,0,0,0,0,0,0,True,False,False,False,Les Mayfield,1,1,0,0,0,0,0,0,0,0,0,0,Martin Lawrence,Luke Wilson,Dave Chappelle
13496,35000000,6.727949,2001-08-17,13678913,94.0,American Outlaws,1,0,0,0,0,0,0,1,0,0,0,False,True,False,False,Les Mayfield,2,0,0,0,1,0,0,0,0,0,0,0,Colin Farrell,Scott Caan,Ali Larter
9074,0,6.925645,2005-09-08,12382362,83.0,The Man,1,0,1,1,0,0,0,0,0,0,0,True,False,False,False,Les Mayfield,3,0,0,1,0,0,0,0,0,0,0,0,Samuel L. Jackson,Eugene Levy,Luke Goss
14396,20000000,9.36146,2007-01-05,10337477,84.0,Code Name: The Cleaner,1,0,1,1,0,0,0,0,0,0,0,False,False,True,False,Les Mayfield,4,0,0,1,0,0,0,0,0,0,0,0,Cedric the Entertainer,Lucy Liu,Nicollette Sheridan
181330,0,9.799357,2013-07-03,32230907,74.0,Kevin Hart: Let Me Explain,0,0,1,0,0,0,0,1,0,0,0,False,True,False,False,Leslie Small,0,0,0,0,1,0,0,0,0,0,0,0,Kevin Hart,David Terrell,David Jason Perez
84174,3000000,20.95282,2012-08-06,11947954,87.0,Bachelorette,0,0,1,0,0,0,0,0,1,0,0,False,True,False,False,Leslye Headland,0,0,0,0,1,0,0,0,0,0,0,0,Kirsten Dunst,Isla Fisher,Lizzy Caplan
